coucode,casecode,indcode,ecorisk,dCi
4,22,23,0.0261124101385873,-0
4,22,24,0.00176164518216337,-0
4,22,25,0.0274591318391405,-0
4,22,26,0.00426841697540326,-0
4,22,27,0.0119219262391179,-0
4,22,28,0.00259126475253502,-0
4,22,29,0.00620911737484253,-0
4,22,30,0.000154123521992511,-0
4,22,31,0.00161435026857948,-0
4,22,32,0.00158060423699846,-0
4,22,33,0.00305255212690703,-0
4,22,34,0.0107988162019375,NaN
4,24,1,0.000587777711901882,-0
4,24,2,0.00983346356909776,-0
4,24,3,0.000439334264672908,-0
4,24,4,0.00224973651023941,-0
4,24,5,0.00120865993181318,-0
4,24,6,0.00230324130387272,-0
4,24,7,0.0127443868203806,-0
4,24,8,0.00150028170799399,-0
4,24,9,0.00218919682010299,-0
4,24,10,0.0019257498506392,-0
4,24,11,0.0017822680784978,-0
4,24,12,0.000764827341588004,-0
4,24,13,0.00195782927583432,-0
4,24,14,0.000954041762052382,-0
4,24,15,0.00198678205117708,-0
4,24,16,0.00288249452839406,-0
4,24,17,0.00125440555480438,-0
4,24,18,0.00157061673830805,-0
4,24,19,0.00344726526238492,-0
4,24,20,0.00376556149812091,-0
4,24,21,0.000218738240687855,-0
4,24,22,0.00336932491884356,-0
4,24,23,0.00890724688943456,-0
4,24,24,0.711996410895812,0.878724980635411
4,24,25,0.00723939367001669,-0
4,24,26,0.00274358374120498,-0
4,24,27,0.00455692388566842,-0
4,24,28,0.00124118344692048,-0
4,24,29,0.00488201381136533,-0
4,24,30,0.000177318559486661,-0
4,24,31,0.0020885247074891,-0
4,24,32,0.013010921227199,-0
4,24,33,0.00287947116865828,-0
4,24,34,0.0050514132536793,NaN
4,33,1,0.00345395861365039,-0
4,33,2,0.0103718917735203,-0
4,33,3,0.00263137837001137,-0
4,33,4,0.0149154739735989,-0
4,33,5,0.00629371541041202,-0
4,33,6,0.0235624607202782,-0
4,33,7,0.00950776036714629,-0
4,33,8,0.03895640828339,-0
4,33,9,0.0100581084614414,-0
4,33,10,0.00816936687986691,-0
4,33,11,0.0100882944470421,-0
